pseudo_subid,exp_cond,exp_subid,movName,temporal_clustering,semantic_clustering,event_condition,condition
44,Full,18,3Iron,0.853765923,0.766026884,intact,Uninterrupted
44,Full,18,3Iron,0.977333788,0.613470195,separated,Uninterrupted
34,Full,27,3Iron,0.974637261,0.708635821,intact,Uninterrupted
34,Full,27,3Iron,0.955706474,0.836049141,separated,Uninterrupted
76,Ordered,28,3Iron,0.949414274,0.731732196,intact,Interrupted
76,Ordered,28,3Iron,0.969513436,0.744954783,separated,Interrupted
28,Ordered,21,3Iron,0.935819994,0.715770619,intact,Interrupted
28,Ordered,21,3Iron,0.932786522,0.573436645,separated,Interrupted
58,Ordered,15,3Iron,0.857347927,0.863272012,intact,Interrupted
58,Ordered,15,3Iron,NA,NA,separated,Interrupted
13,Jumbled,3,3Iron,0.944231699,0.60405754,intact,Jumbled
13,Jumbled,3,3Iron,0.90015294,0.676206251,separated,Jumbled
63,Jumbled,16,3Iron,0.935066253,0.781512082,intact,Jumbled
63,Jumbled,16,3Iron,0.684671786,0.503817904,separated,Jumbled
82,Full,26,3Iron,0.982795875,0.785570568,intact,Uninterrupted
82,Full,26,3Iron,0.953247496,0.689504379,separated,Uninterrupted
5,Full,25,3Iron,0.980061147,0.777422082,intact,Uninterrupted
5,Full,25,3Iron,0.908233433,0.454889657,separated,Uninterrupted
51,Jumbled,11,3Iron,0.740145876,0.705645809,intact,Jumbled
51,Jumbled,11,3Iron,0.84887676,0.496743431,separated,Jumbled
21,Full,7,3Iron,0.935987871,0.661354598,intact,Uninterrupted
21,Full,7,3Iron,0.994227994,0.555796543,separated,Uninterrupted
66,Jumbled,32,3Iron,0.734716654,0.504387336,intact,Jumbled
66,Jumbled,32,3Iron,0.253623188,0.376811594,separated,Jumbled
16,Ordered,13,3Iron,0.918933398,0.648116423,intact,Interrupted
16,Ordered,13,3Iron,0.922526738,0.801871658,separated,Interrupted
48,Ordered,9,3Iron,0.940149422,0.71122203,intact,Interrupted
48,Ordered,9,3Iron,0.868531469,0.781818182,separated,Interrupted
38,Full,5,3Iron,0.966975486,0.661182059,intact,Uninterrupted
38,Full,5,3Iron,0.978573044,0.681893562,separated,Uninterrupted
24,Full,13,3Iron,0.950861978,0.696416943,intact,Uninterrupted
24,Full,13,3Iron,0.949168319,0.582487955,separated,Uninterrupted
54,Ordered,6,3Iron,0.93072449,0.667375562,intact,Interrupted
54,Ordered,6,3Iron,0.942398229,0.495591174,separated,Interrupted
87,Full,2,3Iron,0.984403485,0.734402653,intact,Uninterrupted
87,Full,2,3Iron,0.985008041,0.582647173,separated,Uninterrupted
92,Ordered,7,3Iron,0.949234334,0.76845161,intact,Interrupted
92,Ordered,7,3Iron,0.811340073,0.603093272,separated,Interrupted
31,Full,20,3Iron,0.919082488,0.767213007,intact,Uninterrupted
31,Full,20,3Iron,0.980215603,0.623248592,separated,Uninterrupted
41,Full,17,3Iron,0.964179647,0.738793705,intact,Uninterrupted
41,Full,17,3Iron,0.952564103,0.633538031,separated,Uninterrupted
9,Jumbled,1,3Iron,0.882483563,0.789257017,intact,Jumbled
9,Jumbled,1,3Iron,0.61768109,0.807137702,separated,Jumbled
73,Full,6,3Iron,0.867725479,0.664401324,intact,Uninterrupted
73,Full,6,3Iron,0.972901059,0.663590858,separated,Uninterrupted
70,Ordered,26,3Iron,0.950037278,0.757500474,intact,Interrupted
70,Ordered,26,3Iron,0.863035552,0.384990219,separated,Interrupted
32,Jumbled,27,3Iron,0.853639142,0.784914797,intact,Jumbled
32,Jumbled,27,3Iron,0.648776756,0.656908024,separated,Jumbled
42,Jumbled,13,3Iron,0.855597251,0.675304638,intact,Jumbled
42,Jumbled,13,3Iron,0.604326814,0.48427925,separated,Jumbled
91,Jumbled,24,3Iron,0.653770474,0.570090254,intact,Jumbled
91,Jumbled,24,3Iron,0.530667317,0.662401324,separated,Jumbled
79,Full,21,3Iron,0.970256633,0.741668011,intact,Uninterrupted
79,Full,21,3Iron,0.952937536,0.686177763,separated,Uninterrupted
84,Full,19,3Iron,0.935491585,0.752450118,intact,Uninterrupted
84,Full,19,3Iron,0.905172877,0.631907894,separated,Uninterrupted
27,Full,28,3Iron,0.981238912,0.742685873,intact,Uninterrupted
27,Full,28,3Iron,0.984820705,0.665369969,separated,Uninterrupted
3,Ordered,19,3Iron,0.871758738,0.502549608,intact,Interrupted
3,Ordered,19,3Iron,NA,NA,separated,Interrupted
57,Jumbled,6,3Iron,0.672388498,0.678305947,intact,Jumbled
57,Jumbled,6,3Iron,NA,NA,separated,Jumbled
65,Full,22,3Iron,0.953214939,0.711797483,intact,Uninterrupted
65,Full,22,3Iron,0.798148489,0.746549823,separated,Uninterrupted
15,Jumbled,29,3Iron,0.850226578,0.60339801,intact,Jumbled
15,Jumbled,29,3Iron,0.482620018,0.20142663,separated,Jumbled
52,Full,29,3Iron,0.947714201,0.67759465,intact,Uninterrupted
52,Full,29,3Iron,0.907282321,0.745249597,separated,Uninterrupted
6,Jumbled,4,3Iron,0.892563277,0.770467062,intact,Jumbled
6,Jumbled,4,3Iron,0.640084914,0.421163933,separated,Jumbled
22,Ordered,3,3Iron,0.876583628,0.675959382,intact,Interrupted
22,Ordered,3,3Iron,0.954329004,0.56634722,separated,Interrupted
81,Ordered,29,3Iron,0.965215762,0.748928455,intact,Interrupted
81,Ordered,29,3Iron,0.954009672,0.698205999,separated,Interrupted
10,Jumbled,10,3Iron,0.789757716,0.742750263,intact,Jumbled
10,Jumbled,10,3Iron,0.473145573,0.740937813,separated,Jumbled
60,Jumbled,5,3Iron,0.912662518,0.738389211,intact,Jumbled
60,Jumbled,5,3Iron,0.761345231,0.731261622,separated,Jumbled
75,Jumbled,25,3Iron,0.878798055,0.736136054,intact,Jumbled
75,Jumbled,25,3Iron,0.687966527,0.555180969,separated,Jumbled
88,Ordered,17,3Iron,0.969144987,0.695697772,intact,Interrupted
88,Ordered,17,3Iron,0.957836694,0.700889639,separated,Interrupted
94,Jumbled,31,3Iron,0.874470413,0.739854545,intact,Jumbled
94,Jumbled,31,3Iron,0.735256566,0.380572323,separated,Jumbled
69,Full,14,3Iron,0.963977275,0.689758871,intact,Uninterrupted
69,Full,14,3Iron,0.907843493,0.823836478,separated,Uninterrupted
19,Full,9,3Iron,0.865947843,0.694508731,intact,Uninterrupted
19,Full,9,3Iron,0.942518103,0.623490488,separated,Uninterrupted
47,Ordered,1,3Iron,0.968369681,0.709261224,intact,Interrupted
47,Ordered,1,3Iron,0.946248883,0.657155963,separated,Interrupted
37,Full,15,3Iron,0.938322251,0.78904827,intact,Uninterrupted
37,Full,15,3Iron,0.951610113,0.649817442,separated,Uninterrupted
8,Ordered,5,3Iron,0.925709053,0.755100518,intact,Interrupted
8,Ordered,5,3Iron,0.857477359,0.666474831,separated,Interrupted
72,Full,31,3Iron,0.959726889,0.743419377,intact,Uninterrupted
72,Full,31,3Iron,0.985071807,0.760049338,separated,Uninterrupted
93,Ordered,31,3Iron,0.895265432,0.569355064,intact,Interrupted
93,Ordered,31,3Iron,0.911523158,0.609863642,separated,Interrupted
40,Jumbled,9,3Iron,0.870606664,0.72700136,intact,Jumbled
40,Jumbled,9,3Iron,0.742424242,0.840548341,separated,Jumbled
30,Ordered,24,3Iron,0.931173956,0.721431845,intact,Interrupted
30,Ordered,24,3Iron,0.920169829,0.709817028,separated,Interrupted
1,Ordered,2,3Iron,0.963565411,0.779916741,intact,Interrupted
1,Ordered,2,3Iron,0.925222338,0.688277131,separated,Interrupted
55,Full,23,3Iron,0.945574546,0.686701483,intact,Uninterrupted
55,Full,23,3Iron,0.920010882,0.576953689,separated,Uninterrupted
25,Ordered,27,3Iron,0.911515885,0.540149032,intact,Interrupted
25,Ordered,27,3Iron,0.797559384,0.664313644,separated,Interrupted
86,Ordered,25,3Iron,0.921217285,0.594393003,intact,Interrupted
86,Ordered,25,3Iron,0.945007074,0.593893159,separated,Interrupted
17,Full,24,3Iron,0.892602106,0.603275872,intact,Uninterrupted
17,Full,24,3Iron,0.784651436,0.77585244,separated,Uninterrupted
67,Full,16,3Iron,0.917657728,0.66653945,intact,Uninterrupted
67,Full,16,3Iron,0.844780045,0.609903497,separated,Uninterrupted
39,Full,11,3Iron,0.931838846,0.642086016,intact,Uninterrupted
39,Full,11,3Iron,0.913988406,0.763840374,separated,Uninterrupted
49,Ordered,14,3Iron,0.953424213,0.767233151,intact,Interrupted
49,Ordered,14,3Iron,0.97389156,0.65221688,separated,Interrupted
83,Jumbled,20,3Iron,0.86995934,0.695339457,intact,Jumbled
83,Jumbled,20,3Iron,0.800189143,0.95687582,separated,Jumbled
20,Ordered,22,3Iron,0.925327951,0.787021805,intact,Interrupted
20,Ordered,22,3Iron,0.851732474,0.585683979,separated,Interrupted
50,Jumbled,17,3Iron,0.848524943,0.655628554,intact,Jumbled
50,Jumbled,17,3Iron,0.686536887,0.65112585,separated,Jumbled
4,Jumbled,19,3Iron,0.905112667,0.614627442,intact,Jumbled
4,Jumbled,19,3Iron,0.799982543,0.329709847,separated,Jumbled
62,Jumbled,2,3Iron,0.481271387,0.627906692,intact,Jumbled
62,Jumbled,2,3Iron,0.548214286,0.784663866,separated,Jumbled
12,Ordered,16,3Iron,0.952424073,0.774052248,intact,Interrupted
12,Ordered,16,3Iron,0.927005966,0.816267529,separated,Interrupted
77,Ordered,18,3Iron,0.933382551,0.699576778,intact,Interrupted
77,Ordered,18,3Iron,0.848403039,0.494602349,separated,Interrupted
59,Full,4,3Iron,0.902464098,0.595209306,intact,Uninterrupted
59,Full,4,3Iron,0.878831796,0.621717172,separated,Uninterrupted
29,Ordered,30,3Iron,0.920946692,0.508931224,intact,Interrupted
29,Ordered,30,3Iron,0.921067715,0.87590369,separated,Interrupted
35,Ordered,32,3Iron,0.962438185,0.660929119,intact,Interrupted
35,Ordered,32,3Iron,0.903619554,0.774093212,separated,Interrupted
45,Ordered,12,3Iron,0.881070373,0.645100954,intact,Interrupted
45,Ordered,12,3Iron,0.893607827,0.52357192,separated,Interrupted
96,Jumbled,22,3Iron,0.876263787,0.736725028,intact,Jumbled
96,Jumbled,22,3Iron,0.517025056,0.5786461,separated,Jumbled
18,Jumbled,26,3Iron,0.413043478,0.507850242,intact,Jumbled
18,Jumbled,26,3Iron,0.57137827,0.604929577,separated,Jumbled
68,Full,35,3Iron,0.928098629,0.832331985,intact,Uninterrupted
68,Full,35,3Iron,0.83729351,0.793674058,separated,Uninterrupted
95,Jumbled,12,3Iron,0.657333466,0.723330304,intact,Jumbled
95,Jumbled,12,3Iron,0.277578858,0.767602403,separated,Jumbled
36,Ordered,10,3Iron,0.806901999,0.579278294,intact,Interrupted
36,Ordered,10,3Iron,0.856626866,0.544997398,separated,Interrupted
46,Full,12,3Iron,0.979233524,0.821576595,intact,Uninterrupted
46,Full,12,3Iron,0.974113712,0.627549852,separated,Uninterrupted
89,Full,8,3Iron,0.801736619,0.659406335,intact,Uninterrupted
89,Full,8,3Iron,0.781690141,0.971830986,separated,Uninterrupted
74,Full,33,3Iron,0.961720248,0.738602792,intact,Uninterrupted
74,Full,33,3Iron,0.955114318,0.643005719,separated,Uninterrupted
61,Full,10,3Iron,0.887144061,0.657271878,intact,Uninterrupted
61,Full,10,3Iron,0.866268493,0.788558518,separated,Uninterrupted
11,Jumbled,8,3Iron,0.838026517,0.639605645,intact,Jumbled
11,Jumbled,8,3Iron,0.756270903,0.649944259,separated,Jumbled
23,Jumbled,7,3Iron,0.401604069,0.536776213,intact,Jumbled
23,Jumbled,7,3Iron,NA,NA,separated,Jumbled
7,Ordered,11,3Iron,0.965440705,0.697844582,intact,Interrupted
7,Ordered,11,3Iron,0.945254803,0.731072448,separated,Interrupted
53,Ordered,36,3Iron,0.952969011,0.649961167,intact,Interrupted
53,Ordered,36,3Iron,0.947612725,0.415920155,separated,Interrupted
80,Jumbled,28,3Iron,0.819330188,0.732881443,intact,Jumbled
80,Jumbled,28,3Iron,0.830443172,0.392496875,separated,Jumbled
14,Jumbled,23,3Iron,0.615017502,0.64505709,intact,Jumbled
14,Jumbled,23,3Iron,0.354594216,0.962336754,separated,Jumbled
64,Jumbled,15,3Iron,0.916991697,0.654589594,intact,Jumbled
64,Jumbled,15,3Iron,0.831232688,0.563414804,separated,Jumbled
85,Jumbled,18,3Iron,0.963693376,0.722185978,intact,Jumbled
85,Jumbled,18,3Iron,0.835562404,0.653786656,separated,Jumbled
78,Jumbled,141,3Iron,0.510962193,0.607600634,intact,Jumbled
78,Jumbled,141,3Iron,0.593449519,0.606971154,separated,Jumbled
56,Ordered,8,3Iron,0.935045483,0.746132174,intact,Interrupted
56,Ordered,8,3Iron,0.945626478,0.477541371,separated,Interrupted
2,Jumbled,14,3Iron,0.833848964,0.609291907,intact,Jumbled
2,Jumbled,14,3Iron,0.446317158,0.57783097,separated,Jumbled
26,Ordered,4,3Iron,0.887541496,0.513833776,intact,Interrupted
26,Ordered,4,3Iron,0.87456781,0.260998142,separated,Interrupted
43,Ordered,23,3Iron,0.900299357,0.674588502,intact,Interrupted
43,Ordered,23,3Iron,0.944252281,0.682823885,separated,Interrupted
33,Full,32,3Iron,0.955527865,0.659888863,intact,Uninterrupted
33,Full,32,3Iron,0.916296946,0.641416927,separated,Uninterrupted
90,Jumbled,30,3Iron,0.843867669,0.790942847,intact,Jumbled
90,Jumbled,30,3Iron,0.473652366,0.643990638,separated,Jumbled
71,Full,30,3Iron,0.94186898,0.686549511,intact,Uninterrupted
71,Full,30,3Iron,0.83205822,0.477458851,separated,Uninterrupted
44,Full,18,Corn,0.902089185,0.653044019,intact,Uninterrupted
44,Full,18,Corn,0.900932107,0.642186054,separated,Uninterrupted
34,Full,27,Corn,0.869808124,0.769159289,intact,Uninterrupted
34,Full,27,Corn,1,0.8,separated,Uninterrupted
76,Ordered,28,Corn,0.961777484,0.738333858,intact,Interrupted
76,Ordered,28,Corn,0.966559973,0.686439975,separated,Interrupted
28,Ordered,21,Corn,0.882225247,0.697691936,intact,Interrupted
28,Ordered,21,Corn,0.893310023,0.634744145,separated,Interrupted
13,Jumbled,3,Corn,0.921314679,0.814451663,intact,Jumbled
13,Jumbled,3,Corn,0.69088659,0.871986987,separated,Jumbled
63,Jumbled,16,Corn,0.799368897,0.741670427,intact,Jumbled
63,Jumbled,16,Corn,0.728309232,0.574074074,separated,Jumbled
82,Full,26,Corn,0.858921381,0.669990598,intact,Uninterrupted
82,Full,26,Corn,0.919954319,0.651162791,separated,Uninterrupted
5,Full,25,Corn,0.908167317,0.811375364,intact,Uninterrupted
5,Full,25,Corn,0.850586485,0.608446456,separated,Uninterrupted
51,Jumbled,11,Corn,0.812653908,0.531265656,intact,Jumbled
51,Jumbled,11,Corn,NA,NA,separated,Jumbled
21,Full,7,Corn,0.888246009,0.704190638,intact,Uninterrupted
21,Full,7,Corn,0.842137408,0.684494518,separated,Uninterrupted
66,Jumbled,32,Corn,0.636651322,0.718989813,intact,Jumbled
66,Jumbled,32,Corn,0.976774691,0.838240741,separated,Jumbled
16,Ordered,13,Corn,0.881662513,0.72956602,intact,Interrupted
16,Ordered,13,Corn,1,0.86,separated,Interrupted
48,Ordered,9,Corn,0.859285779,0.560157713,intact,Interrupted
48,Ordered,9,Corn,NA,NA,separated,Interrupted
38,Full,5,Corn,0.827371392,0.476755857,intact,Uninterrupted
38,Full,5,Corn,NA,NA,separated,Uninterrupted
24,Full,13,Corn,0.896417481,0.740253783,intact,Uninterrupted
24,Full,13,Corn,0.960375817,0.847222222,separated,Uninterrupted
54,Ordered,6,Corn,0.923437957,0.73623707,intact,Interrupted
54,Ordered,6,Corn,0.734641488,0.448451089,separated,Interrupted
87,Full,2,Corn,0.892729611,0.770912258,intact,Uninterrupted
87,Full,2,Corn,0.990909091,1,separated,Uninterrupted
92,Ordered,7,Corn,0.952115265,0.744714202,intact,Interrupted
92,Ordered,7,Corn,0.913540231,0.782028252,separated,Interrupted
31,Full,20,Corn,0.822787808,0.593599117,intact,Uninterrupted
31,Full,20,Corn,0.97745614,0.87122807,separated,Uninterrupted
41,Full,17,Corn,0.77528734,0.764557159,intact,Uninterrupted
41,Full,17,Corn,0.768662664,0.76007326,separated,Uninterrupted
9,Jumbled,1,Corn,0.839278349,0.768688895,intact,Jumbled
9,Jumbled,1,Corn,0.641841121,0.798040854,separated,Jumbled
73,Full,6,Corn,0.791690561,0.413132667,intact,Uninterrupted
73,Full,6,Corn,0.647540984,0.196721311,separated,Uninterrupted
70,Ordered,26,Corn,0.788498112,0.65302829,intact,Interrupted
70,Ordered,26,Corn,1,1,separated,Interrupted
32,Jumbled,27,Corn,0.799494307,0.64567187,intact,Jumbled
32,Jumbled,27,Corn,0.891073994,0.700689655,separated,Jumbled
42,Jumbled,13,Corn,0.829086444,0.658547571,intact,Jumbled
42,Jumbled,13,Corn,0.910492116,0.68465663,separated,Jumbled
91,Jumbled,24,Corn,0.6553137,0.485286181,intact,Jumbled
91,Jumbled,24,Corn,0.844123368,0.959016393,separated,Jumbled
79,Full,21,Corn,0.891735422,0.668832088,intact,Uninterrupted
79,Full,21,Corn,0.84018756,0.642597295,separated,Uninterrupted
84,Full,19,Corn,0.920831767,0.813610306,intact,Uninterrupted
84,Full,19,Corn,0.945238095,0.800437876,separated,Uninterrupted
27,Full,28,Corn,0.971143297,0.732461689,intact,Uninterrupted
27,Full,28,Corn,0.959520471,0.741121032,separated,Uninterrupted
57,Jumbled,6,Corn,0.746817989,0.354953206,intact,Jumbled
57,Jumbled,6,Corn,0.740356517,0.663793103,separated,Jumbled
65,Full,22,Corn,0.934212116,0.709561658,intact,Uninterrupted
65,Full,22,Corn,0.994191919,0.890277778,separated,Uninterrupted
15,Jumbled,29,Corn,0.723455996,0.393172934,intact,Jumbled
15,Jumbled,29,Corn,0.991666667,0.766666667,separated,Jumbled
52,Full,29,Corn,0.860124235,0.55909395,intact,Uninterrupted
52,Full,29,Corn,0.901639344,0.37704918,separated,Uninterrupted
6,Jumbled,4,Corn,0.664013872,0.668405424,intact,Jumbled
6,Jumbled,4,Corn,0.712192682,0.812607204,separated,Jumbled
22,Ordered,3,Corn,0.843557315,0.694450471,intact,Interrupted
22,Ordered,3,Corn,0.933777144,0.808716194,separated,Interrupted
81,Ordered,29,Corn,0.928498763,0.827464108,intact,Interrupted
81,Ordered,29,Corn,0.964923469,0.744897959,separated,Interrupted
10,Jumbled,10,Corn,0.647915648,0.640287968,intact,Jumbled
10,Jumbled,10,Corn,0.908916084,0.951923077,separated,Jumbled
60,Jumbled,5,Corn,0.744344408,0.676505575,intact,Jumbled
60,Jumbled,5,Corn,0.881266353,0.709863946,separated,Jumbled
75,Jumbled,25,Corn,0.683966435,0.699553494,intact,Jumbled
75,Jumbled,25,Corn,0.548397436,0.369230769,separated,Jumbled
88,Ordered,17,Corn,0.821978952,0.718646288,intact,Interrupted
88,Ordered,17,Corn,0.984040404,0.883164983,separated,Interrupted
94,Jumbled,31,Corn,0.863640872,0.665034424,intact,Jumbled
94,Jumbled,31,Corn,0.501525894,0.609083734,separated,Jumbled
69,Full,14,Corn,0.949483484,0.754064549,intact,Uninterrupted
69,Full,14,Corn,0.985141509,0.652279635,separated,Uninterrupted
19,Full,9,Corn,0.843576363,0.720125974,intact,Uninterrupted
19,Full,9,Corn,0.908333333,0.490740741,separated,Uninterrupted
47,Ordered,1,Corn,0.965501155,0.715925885,intact,Interrupted
47,Ordered,1,Corn,0.918191133,0.506273319,separated,Interrupted
37,Full,15,Corn,0.912469571,0.7603828,intact,Uninterrupted
37,Full,15,Corn,0.833272083,0.94436143,separated,Uninterrupted
8,Ordered,5,Corn,0.878597297,0.785997524,intact,Interrupted
8,Ordered,5,Corn,0.860492678,0.749985775,separated,Interrupted
72,Full,31,Corn,0.934296233,0.827310899,intact,Uninterrupted
72,Full,31,Corn,0.98763311,0.813556192,separated,Uninterrupted
93,Ordered,31,Corn,0.770598553,0.562435166,intact,Interrupted
93,Ordered,31,Corn,0.084745763,0.237288136,separated,Interrupted
40,Jumbled,9,Corn,0.850591161,0.727742532,intact,Jumbled
40,Jumbled,9,Corn,0.911967213,0.708415301,separated,Jumbled
30,Ordered,24,Corn,0.859485259,0.819043725,intact,Interrupted
30,Ordered,24,Corn,0.978049458,0.822794692,separated,Interrupted
1,Ordered,2,Corn,0.940292039,0.77360179,intact,Interrupted
1,Ordered,2,Corn,0.863440727,0.888907098,separated,Interrupted
55,Full,23,Corn,0.922706663,0.725580315,intact,Uninterrupted
55,Full,23,Corn,0.981040564,0.904403193,separated,Uninterrupted
25,Ordered,27,Corn,0.920989394,0.696208671,intact,Interrupted
25,Ordered,27,Corn,0.956941458,0.725113501,separated,Interrupted
86,Ordered,25,Corn,0.750561988,0.475306217,intact,Interrupted
86,Ordered,25,Corn,0.995967742,0.866071429,separated,Interrupted
17,Full,24,Corn,0.870936268,0.767678306,intact,Uninterrupted
17,Full,24,Corn,0.889920424,0.990384615,separated,Uninterrupted
67,Full,16,Corn,0.810746083,0.562272204,intact,Uninterrupted
67,Full,16,Corn,0.694109195,0.49683908,separated,Uninterrupted
39,Full,11,Corn,0.806727978,0.568570915,intact,Uninterrupted
39,Full,11,Corn,NA,NA,separated,Uninterrupted
49,Ordered,14,Corn,0.863280057,0.713232037,intact,Interrupted
49,Ordered,14,Corn,0.882986356,0.78608716,separated,Interrupted
83,Jumbled,20,Corn,0.734540955,0.727671712,intact,Jumbled
83,Jumbled,20,Corn,1,1,separated,Jumbled
20,Ordered,22,Corn,0.909652031,0.710369776,intact,Interrupted
20,Ordered,22,Corn,0.771999908,0.877860169,separated,Interrupted
50,Jumbled,17,Corn,0.735182425,0.698322975,intact,Jumbled
50,Jumbled,17,Corn,0.9921875,1,separated,Jumbled
4,Jumbled,19,Corn,0.637064981,0.699706329,intact,Jumbled
4,Jumbled,19,Corn,0.469354839,0.228225806,separated,Jumbled
62,Jumbled,2,Corn,0.579684676,0.366628464,intact,Jumbled
62,Jumbled,2,Corn,NA,NA,separated,Jumbled
12,Ordered,16,Corn,0.890517737,0.787247641,intact,Interrupted
12,Ordered,16,Corn,0.935823096,0.86020202,separated,Interrupted
77,Ordered,18,Corn,0.881046295,0.625552319,intact,Interrupted
77,Ordered,18,Corn,0.991666667,1,separated,Interrupted
59,Full,4,Corn,0.545366182,0.618150868,intact,Uninterrupted
59,Full,4,Corn,NA,NA,separated,Uninterrupted
29,Ordered,30,Corn,0.889155956,0.538966602,intact,Interrupted
29,Ordered,30,Corn,0.966666667,0.983333333,separated,Interrupted
35,Ordered,32,Corn,0.913105853,0.727419082,intact,Interrupted
35,Ordered,32,Corn,0.990807332,0.847596043,separated,Interrupted
45,Ordered,12,Corn,0.859357597,0.814503784,intact,Interrupted
45,Ordered,12,Corn,0.966666667,0.983333333,separated,Interrupted
96,Jumbled,22,Corn,0.90055729,0.751237538,intact,Jumbled
96,Jumbled,22,Corn,0.721742009,0.649009316,separated,Jumbled
18,Jumbled,26,Corn,0.550170381,0.636200037,intact,Jumbled
18,Jumbled,26,Corn,0.495455709,0.487455197,separated,Jumbled
68,Full,35,Corn,0.903665245,0.765356242,intact,Uninterrupted
68,Full,35,Corn,0.863636364,0.988636364,separated,Uninterrupted
95,Jumbled,12,Corn,0.616809303,0.595194327,intact,Jumbled
95,Jumbled,12,Corn,0.769067797,0.751899474,separated,Jumbled
36,Ordered,10,Corn,0.957209225,0.789842192,intact,Interrupted
36,Ordered,10,Corn,0.84575079,0.777296019,separated,Interrupted
46,Full,12,Corn,0.963759133,0.804774292,intact,Uninterrupted
46,Full,12,Corn,0.962105927,0.542920265,separated,Uninterrupted
89,Full,8,Corn,0.850863995,0.435264278,intact,Uninterrupted
89,Full,8,Corn,NA,NA,separated,Uninterrupted
74,Full,33,Corn,0.931769015,0.695979172,intact,Uninterrupted
74,Full,33,Corn,0.945330113,0.631434035,separated,Uninterrupted
61,Full,10,Corn,0.819663124,0.704456882,intact,Uninterrupted
61,Full,10,Corn,0.854215918,0.685551053,separated,Uninterrupted
11,Jumbled,8,Corn,0.609563361,0.719233133,intact,Jumbled
11,Jumbled,8,Corn,0.6640625,0.21875,separated,Jumbled
23,Jumbled,7,Corn,NA,NA,intact,Jumbled
23,Jumbled,7,Corn,NA,NA,separated,Jumbled
7,Ordered,11,Corn,0.899722465,0.756812098,intact,Interrupted
7,Ordered,11,Corn,0.965876437,0.626325403,separated,Interrupted
53,Ordered,36,Corn,0.900720991,0.626117275,intact,Interrupted
53,Ordered,36,Corn,0.981451306,0.903535354,separated,Interrupted
80,Jumbled,28,Corn,0.791847278,0.747153651,intact,Jumbled
80,Jumbled,28,Corn,NA,NA,separated,Jumbled
14,Jumbled,23,Corn,0.614462543,0.580115539,intact,Jumbled
14,Jumbled,23,Corn,0.992063492,0.761904762,separated,Jumbled
64,Jumbled,15,Corn,0.862122848,0.71464818,intact,Jumbled
64,Jumbled,15,Corn,0.88196337,0.622552784,separated,Jumbled
85,Jumbled,18,Corn,0.801978794,0.57497677,intact,Jumbled
85,Jumbled,18,Corn,0.894328885,0.653649922,separated,Jumbled
78,Jumbled,141,Corn,0.643403815,0.566114951,intact,Jumbled
78,Jumbled,141,Corn,NA,NA,separated,Jumbled
56,Ordered,8,Corn,0.853043657,0.716699959,intact,Interrupted
56,Ordered,8,Corn,0.878741435,0.989361702,separated,Interrupted
2,Jumbled,14,Corn,0.716229628,0.567479817,intact,Jumbled
2,Jumbled,14,Corn,0.991191789,0.318627451,separated,Jumbled
26,Ordered,4,Corn,0.754629923,0.601276399,intact,Interrupted
26,Ordered,4,Corn,0.795146004,0.306096311,separated,Interrupted
43,Ordered,23,Corn,0.851570079,0.628972032,intact,Interrupted
43,Ordered,23,Corn,0.991071429,0.732142857,separated,Interrupted
33,Full,32,Corn,0.900670319,0.658461448,intact,Uninterrupted
33,Full,32,Corn,0.905172414,0.396551724,separated,Uninterrupted
90,Jumbled,30,Corn,0.781585111,0.697909356,intact,Jumbled
90,Jumbled,30,Corn,NA,NA,separated,Jumbled
71,Full,30,Corn,0.956581193,0.700535694,intact,Uninterrupted
71,Full,30,Corn,0.949817335,0.796137382,separated,Uninterrupted